,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,Unnamed: 10,RainStatus,SnowStatus,weatherType,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES
19,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/20/14,7.38,",,W",,,,0,0,0,0,",,W,2400",0,",,W,",0,",,W,",,,46,",,W",31,",,W",,,270,",,W",280,",,W",17,",,W",30,",,W",,,,,,,,,,
20,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/21/14,10.51,",,W",,,,1,1,1,0.46,",,W,2400",11,",,W,",0,",,W,",,,31,",,W",11,",,W",,,30,",,W",40,",,W",19.9,",,W",30,",,W",,,,,,,,,,
21,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/22/14,8.72,",,W",,,,1,1,1,0.02,",,W,2400",0.5,",,W,",11,",,W,",,,17,",,W",5,",,W",,,360,",,W",350,",,W",21.9,",,W",30,",,W",,,,,,,,,,
22,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/23/14,7.16,",,W",,,,0,0,0,0,",,W,2400",0,",,W,",7,",,W,",,,20,",,W",7,",,W",,,290,",,W",280,",,W",16.1,",,W",25.9,",,W",,,,,,,,,,
23,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/24/14,8.05,",,W",,,,0,0,0,0,",,W,2400",0,",,W,",6,",,W,",,,20,",,W",10,",,W",,,250,",,W",240,",,W",17,",,W",30,",,W",,,,,,,,,,
24,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/25/14,7.61,",,W",,,,1,1,1,0.04,",,W,2400",1,",,W,",4,",,W,",,,28,",,W",19,",,W",,,230,",,W",240,",,W",17,",,W",30,",,W",,,,,,,,,,
25,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/26/14,,,,,,0,0,0,0,",,W,2400",0,"T,,W,",4,",,W,",,,34,",,W",17,",,W",,,280,",,W",280,",,W",16.1,",,W",25.9,",,W",,,,,,,,,,
26,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/27/14,7.83,",,W",,,,0,0,0,0,",,W,2400",0,",,W,",3,",,W,",,,44,",,W",21,",,W",,,300,",,W",300,",,W",17,",,W",30,",,W",,,,,,,,,,
27,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/28/14,6.04,",,W",,,,0,0,0,0,",,W,2400",0,",,W,",1,",,W,",,,21,",,W",12,",,W",,,310,",,W",280,",,W",15,",,W",23.9,",,W",,,,,,,,,,
28,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/29/14,6.49,",,W",,,,1,1,1,0.04,",,W,2400",0.8,",,W,",2,",,W,",,,23,",,W",14,",,W",,,260,",,W",250,",,W",15,",,W",23,",,W",,,,,,,,,,
29,USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/30/14,3.8,",,W",,,,0,0,0,0,",,W,2400",0,",,W,",1,",,Z,",,,30,",,W",16,",,W",,,270,",,W",270,",,W",8.9,",,W",16.1,",,W",,,,,,,,,,
